Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,""
3,24,1,43200,50400,2700,,,,,,""
0,2,0,1,28800,32400,0.003,,,,,""
1,3,0,1,2,28800,32400,0.008,,,,""
2,3,0,1,2,28800,36000,0.008,,,,""
0,3,0,1,2,25.093969670845,55.161570310593,,,,,""
1,3,0,1,2,2,25.118398,55.198917,3600,25200,30600,"150"
2,1,2,3,25.267913,55.305605,3600,50400,51480,200,,""
3,1,0,3,25.25407,55.305309,10800,21600,36000,400,400,""
4,2,0,2,1,25.097414,55.150745,7200,39600,50940,400,""
5,1,1,1,25.196476052599,55.277581214905,3600,32400,39600,400,,""
6,3,0,1,2,2,24.98383,55.18142,900,57600,68400,"100"
7,1,1,3,24.997599,55.158617,3600,32400,45000,150,,""
8,2,1,2,1,24.995937,55.179561,7200,25200,32400,100,""
9,3,0,1,2,3,25.237524354669,55.307482481003,3600,54000,61200,"200"
10,1,0,3,25.223014891762,55.285799503326,3600,32400,61200,100,,""
11,2,0,2,1,25.265034198614,55.320904254913,10800,50400,50940,200,""
12,1,0,1,25.118515131651,55.199046134949,1800,21600,61200,200,,""
13,1,1,2,25.214614140596,55.258553624153,3600,25200,64800,400,,""
14,1,2,3,25.229078,55.318455,10800,25200,51480,150,,""
15,3,0,1,2,3,25.157817,55.250866,1800,25200,50400,"200"
16,1,1,2,25.277019,55.330226,14400,21600,68400,200,,""
17,2,1,2,3,25.241823429498,55.373788434955,3600,32400,57600,150,""
18,1,0,1,25.122271650858,55.374242348009,3600,18000,68400,400,,""
19,1,2,3,25.167982921427,55.251065304459,3600,57600,68400,150,,""
20,3,0,1,2,1,25.249221638334,55.446742117374,1800,21600,61200,"400"
21,3,0,1,2,1,25.248869924576,55.354002294698,2700,32400,75600,"150"
22,3,0,1,2,1,25.21275071504,55.412709282748,2700,25200,50400,"400"
23,2,1,2,3,25.230070880286,55.322588682175,900,21600,68400,700,""
24,1,1,1,25.160847159704,55.398838253909,7200,21600,50400,450,,""
