Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,""
2,10,2,43200,50400,2700,,,,,,""
0,2,0,1,28800,32400,0.005,,,,,""
1,3,0,1,2,28800,32400,0.008,,,,""
0,1,0,25.118952,55.401601,,,,,,,""
1,1,1,25.249003573868,55.353775390812,,,,,,,""
2,1,0,3,25.266664,55.322943,3600,21600,61200,200,,""
3,1,1,1,25.070984,55.401601,1800,32400,61200,100,,""
4,3,0,1,2,2,25.042313194349,55.118646230027,3600,25200,30600,"150"
5,1,2,3,25.26843,55.329841,3600,50400,51480,200,,""
6,1,0,3,25.279153303662,55.314276163067,10800,21600,36000,400,,""
7,2,0,2,1,25.175260804485,55.412952559012,7200,39600,50940,400,""
8,1,0,1,25.217153584996,55.414671730644,900,32400,68400,100,,""
9,1,1,3,25.075625465368,55.137483704383,3600,32400,45000,150,,""
10,1,0,3,25.233729,55.262959,3600,32400,61200,100,,""
11,2,0,1,1,25.232221109945,55.326362211547,10800,50400,50940,200,""
